,Star,RA_hhmmss,DEC_ddmmss,V,B-V,U-B,V-R,R-I,V-I,n,m,e_V,e_B-V,e_U-B,e_V-R,e_R-I,e_V-I,RA_deg,DEC_deg,R,dxy_deg
308,SA 20-446,00 46 48.808,+46 10 50.01,10.005,0.24600000000000002,0.161,0.127,+0.129,+0.259,14,7,0.0004,0.0008,0.0017,0.0009,0.0005,0.0010,11.703366666666666,46.18055833333333,9.878,240.20198430624862
309,SA 20-340,00 47 11.482,+45 53 22.77,10.127,0.968,0.637,0.514,+0.480,+0.995,10,5,0.0014,0.0004,0.0030,0.0010,0.0004,0.0008,11.797841666666665,45.88965833333333,9.613000000000001,240.20869428000887
310,SA 20-186,00 46 34.507,+45 50 50.56,11.109000000000002,0.418,0.115,0.259,+0.275,+0.531,14,8,0.0005,0.0006,0.0006,0.0006,0.0006,0.0009,11.643779166666665,45.84737777777778,10.850000000000001,240.24046354298983
311,SA 20-182,00 46 31.259,+45 50 25.68,12.732000000000001,1.023,0.763,0.5479999999999999,+0.517,+1.066,11,6,0.0027,0.0016,0.0030,0.0011,0.0021,0.0023,11.630245833333333,45.84046666666667,12.184000000000001,240.25985305179657
312,SA 20-435,00 46 25.267,+46 02 50.54,11.307,0.664,0.19899999999999998,0.377,+0.354,+0.732,12,7,0.0007,0.0006,0.0006,0.0011,0.0009,0.0006,11.605279166666666,46.04737222222222,10.93,240.26489600009668
313,SA 20-431,00 46 21.507,+46 06 30.24,9.951,1.091,0.9740000000000001,0.5710000000000001,+0.521,+1.088,12,7,0.0016,0.0005,0.0010,0.0006,0.0006,0.0006,11.5896125,46.1084,9.38,240.30259925144392
314,SA 20-163,00 45 59.779,+45 48 13.11,10.458,1.0290000000000001,0.872,0.5539999999999999,+0.498,+1.042,11,6,0.0004,0.0011,0.0022,0.0009,0.0016,0.0005,11.499079166666665,45.803641666666664,9.904,240.31147159460778
315,SA 20-420,00 45 56.621,+46 04 33.36,9.52,1.0070000000000001,0.733,0.534,+0.500,+1.028,14,8,0.0006,0.0006,0.0006,0.0007,0.0004,0.0009,11.485920833333331,46.07593333333334,8.985999999999999,240.3252539541645
316,SA 20-297,00 45 51.821,+45 53 44.79,8.907,-0.054000000000000006,-0.41700000000000004,-0.015,-0.020,-0.032,6,3,0.0007,0.0006,0.0017,0.0017,0.0017,0.0012,11.465920833333332,45.895775,8.922,240.38640730907335
317,SA 20-43,00 45 42.450,+45 35 15.39,10.412,0.764,0.301,0.43,+0.409,+0.838,6,3,0.0006,0.0022,0.0031,0.0012,0.0023,0.0031,11.426874999999999,45.587608333333336,9.982000000000001,240.48558215879723
318,SA 20-291,00 45 37.914,+45 56 54.86,10.454,0.794,0.429,0.425,+0.388,+0.812,8,5,0.0009,0.0004,0.0011,0.0004,0.0012,0.0014,11.407974999999999,45.94857222222222,10.029,240.60825921386228
319,SA 20-39,00 45 34.099,+45 36 48.21,9.353,0.47200000000000003,0.092,0.27699999999999997,+0.280,+0.555,10,5,0.0013,0.0016,0.0013,0.0010,0.0007,0.0016,11.392079166666665,45.613391666666665,9.076,240.62509185914496
320,SA 20-133,00 44 49.522,+45 44 57.85,10.824000000000002,0.457,0.138,0.268,+0.260,+0.528,10,6,0.0007,0.0014,0.0018,0.0010,0.0010,0.0006,11.206341666666663,45.74940277777778,10.556000000000001,242.70618100940783
321,SA 20-139,00 45 13.834,+45 47 48.08,11.272,1.0759999999999998,0.893,0.5670000000000001,+0.522,+1.091,10,5,0.0006,0.0006,0.0037,0.0006,0.0009,0.0005,11.307641666666665,45.79668888888889,10.705,242.98223391775525
322,GD 8,00 39 52.163,+31 32 29.19,14.699000000000002,-0.275,-1.169,-0.145,-0.197,-0.348,17,9,0.0012,0.0007,0.0027,0.0007,0.0022,0.0024,9.967345833333333,31.541441666666667,14.844000000000001,245.64933784463983
323,SA 20-245,00 44 21.182,+45 55 12.77,8.951,0.866,0.575,0.47600000000000003,+0.421,+0.894,9,4,0.0017,0.0006,0.0017,0.0010,0.0010,0.0011,11.088258333333332,45.92021388888889,8.475,245.74829324080548
324,SA 20-130,00 44 44.437,+45 49 50.97,11.032,1.052,0.845,0.5529999999999999,+0.514,+1.069,11,6,0.0005,0.0012,0.0021,0.0009,0.0005,0.0009,11.185154166666665,45.830825000000004,10.479,247.31035776696572
325,GD 8B,00 39 44.863,+31 36 36.48,13.652999999999999,0.8029999999999999,0.45399999999999996,0.446,+0.395,+0.837,17,8,0.0006,0.0006,0.0032,0.0005,0.0013,0.0011,9.936929166666667,31.610133333333334,13.206999999999999,257.81152290909483
326,GD 8A,00 39 40.965,+31 32 44.53,14.593,0.695,0.19899999999999998,0.4,+0.378,+0.780,17,9,0.0011,0.0012,0.0042,0.0012,0.0030,0.0024,9.9206875,31.54570277777778,14.193,257.84611266246395
327,GD 8C,00 39 37.145,+31 37 03.40,13.299000000000001,0.636,0.14,0.371,+0.358,+0.724,14,7,0.0016,0.0019,0.0019,0.0009,0.0015,0.0021,9.904770833333332,31.617611111111113,12.928,257.927195835165
328,GD 410,00 35 24.704,+60 58 11.27,12.845,0.725,0.086,0.441,+0.438,+0.879,1,1, ... , ... , ... , ... , ... , ... ,8.852933333333333,60.969797222222226,12.404,257.9792363954446
329,GD 2D,00 07 41.634,+33 17 57.33,14.255,0.605,0.006999999999999999,0.355,+0.370,+0.729,9,5,0.0049,0.0024,0.0024,0.0042,0.0065,0.0047,1.9234749999999996,33.299258333333334,13.9,257.99609181076534
330,GD 2,00 07 32.261,+33 17 27.62,13.802,-0.295,-1.192,-0.142,-0.171,-0.313,26,13,0.0015,0.0016,0.0015,0.0009,0.0018,0.0022,1.8844208333333332,33.29100555555555,13.943999999999999,258.02850639980494
331,GD 2E,00 07 36.675,+33 17 41.73,15.187999999999999,0.575,0.076,0.33899999999999997,+0.323,+0.652,7,4,0.0024,0.0038,0.0070,0.0024,0.0085,0.0087,1.9028124999999996,33.294925,14.848999999999998,258.03923970862905
332,GD 2C,00 07 32.355,+33 20 14.69,13.314,0.619,0.081,0.36,+0.357,+0.718,17,8,0.0013,0.0013,0.0017,0.0008,0.0015,0.0013,1.8848125,33.33741388888889,12.954,258.05030828833446
333,GD 2A,00 07 26.174,+33 18 19.18,14.853,0.912,0.684,0.53,+0.462,+1.002,17,8,0.0024,0.0021,0.0091,0.0016,0.0020,0.0022,1.8590583333333333,33.30532777777778,14.323,258.0513590158746
334,GD 2B,00 07 25.484,+33 19 00.17,13.279000000000002,0.588,-0.001,0.35,+0.349,+0.697,19,10,0.0010,0.0018,0.0019,0.0011,0.0010,0.0014,1.856183333333333,33.31671388888889,12.929000000000002,258.0744313051977
