,Star,RA_hhmmss,DEC_ddmmss,V,B-V,U-B,V-R,R-I,V-I,n,m,e_V,e_B-V,e_U-B,e_V-R,e_R-I,e_V-I,RA_deg,DEC_deg,R,dxy_deg
157,GD 111B,10 06 02.757,+42 45 43.10,13.149000000000001,0.7609999999999999,0.289,0.42,+0.417,+0.838,1,1, ... , ... , ... , ... , ... , ... ,151.51148749999996,42.76197222222222,12.729000000000001,152.90046232323667
158,GD 111,10 05 48.965,+42 48 03.14,16.155,-0.099,-0.8640000000000001,-0.028999999999999998,-0.220,-0.241,2,1,0.0078,0.0311,0.0247,0.0049,0.0049,0.0099,151.45402083333332,42.80087222222222,16.184,152.91146387523855
159,KUV 348-14C,10 05 18.521,+38 48 11.44,15.140999999999998,0.6579999999999999,0.11800000000000001,0.34600000000000003,+0.367,+0.712,2,1,0.0071,0.0078,0.0057,0.0021,0.0120,0.0134,151.32717083333333,38.803177777777776,14.794999999999998,152.91350552108176
160,GD 310,11 29 10.923,+38 08 51.64,15.009,-0.17800000000000002,-1.002,-0.11599999999999999,-0.139,-0.250,16,8,0.0010,0.0009,0.0009,0.0024,0.0090,0.0106,172.29551249999994,38.14767777777778,15.125,152.91549074891577
161,KUV 348-14,10 05 09.884,+38 46 15.14,14.335999999999999,-0.046,-0.223,-0.024,-0.032,-0.050,5,2,0.0028,0.0012,0.0013,0.0042,0.0022,0.0013,151.29118333333332,38.77087222222222,14.359999999999998,152.92551301091325
162,KUV 348-14A,10 05 06.918,+38 47 14.14,13.651,0.515,-0.045,0.306,+0.309,+0.615,3,1,0.0006,0.0017,0.0012,0.0046,0.0023,0.0052,151.27882499999998,38.78726111111111,13.345,152.94132790312764
163,KUV 348-13A,10 04 06.316,+40 35 25.49,12.497,0.6459999999999999,0.159,0.364,+0.356,+0.720,2,1,0.0049,0.0021,0.0071,0.0042,0.0064,0.0014,151.02631666666665,40.59041388888889,12.133,152.94760071331638
164,KUV 348-13,10 03 54.276,+40 34 18.10,13.318,-0.33,-1.069,-0.147,-0.178,-0.313,4,2,0.0013,0.0024,0.0020,0.0013,0.0007,0.0031,150.97615,40.57169444444445,13.465,152.95564940841874
165,KUV 348-13B,10 03 53.506,+40 32 01.93,14.697000000000001,0.6990000000000001,0.11800000000000001,0.408,+0.441,+0.848,2,1,0.0028,0.0127,0.0156,0.0057,0.0071,0.0049,150.97294166666666,40.53386944444444,14.289000000000001,152.96000183726358
166,KUV 348-07B,09 56 58.396,+41 13 03.63,14.545,0.794,0.34600000000000003,0.45899999999999996,+0.433,+0.900,4,2,0.0007,0.0027,0.0076,0.0014,0.0038,0.0012,149.24331666666666,41.217675,14.086,152.9646547291886
167,KUV 348-07A,09 56 57.179,+41 16 49.89,13.992,0.48200000000000004,-0.163,0.322,+0.327,+0.653,4,2,0.0012,0.0026,0.0047,0.0020,0.0042,0.0012,149.2382458333333,41.280525,13.670000000000002,152.97155679799747
168,SA 29-407,09 47 24.351,+44 37 56.67,14.530999999999999,0.524,-0.034,0.325,+0.345,+0.654,5,3,0.0084,0.0029,0.0024,0.0048,0.0088,0.0092,146.85146249999997,44.63240833333333,14.206,152.9808454521677
169,SA 29-406,09 47 24.345,+44 39 43.93,14.127,1.239,1.235,0.765,+0.689,+1.447,5,3,0.0007,0.0030,0.0114,0.0036,0.0007,0.0040,146.8514375,44.66220277777778,13.362,152.9842186135044
170,SA 29-408,09 47 25.926,+44 41 34.07,13.113,0.484,-0.055999999999999994,0.304,+0.319,+0.624,3,2,0.0021,0.0027,0.0027,0.0014,0.0033,0.0027,146.858025,44.69279722222222,12.809,152.9845701563501
171,GD 300A,09 55 34.484,+51 36 41.97,12.985,0.6809999999999999,0.18100000000000002,0.392,+0.371,+0.763,19,9,0.0019,0.0009,0.0010,0.0008,0.0013,0.0021,148.8936833333333,51.61165833333334,12.593,152.98672475293836
172,SA 29-409,09 47 30.510,+44 40 00.42,13.684000000000001,0.51,0.025,0.306,+0.309,+0.616,3,2,0.0090,0.0058,0.0007,0.0033,0.0058,0.0033,146.87712499999998,44.66678333333333,13.378000000000002,152.99802587628412
173,KUV 348-07,09 56 52.394,+41 15 22.10,15.546,0.065,-0.9009999999999999,0.252,+0.560,+0.826,5,2,0.0007,0.0026,0.0051,0.0035,0.0040,0.0011,149.2183083333333,41.25613888888889,15.293999999999999,153.01396451030575
174,SA 29-405,09 47 20.158,+44 41 08.31,15.431,0.7909999999999999,0.41200000000000003,0.478,+0.462,+0.942,1,1, ... , ... , ... , ... , ... , ... ,146.83399166666663,44.68564166666666,14.953,153.01509519089487
175,GD 300,09 55 19.466,+51 36 59.03,12.662,-0.321,-1.2309999999999999,-0.139,-0.175,-0.315,25,13,0.0022,0.0014,0.0020,0.0014,0.0027,0.0018,148.8311083333333,51.616397222222226,12.801,153.01527284795458
176,GD 300B,09 55 01.207,+51 39 58.80,12.773,0.662,0.158,0.375,+0.367,+0.749,17,8,0.0010,0.0008,0.0019,0.0003,0.0007,0.0008,148.75502916666665,51.666333333333334,12.398,153.01717941190006
177,SA 29-402,09 47 16.900,+44 38 20.30,13.875,0.863,0.61,0.46799999999999997,+0.403,+0.875,5,3,0.0019,0.0018,0.0007,0.0007,0.0005,0.0017,146.82041666666666,44.63897222222222,13.407,153.02896646183518
178,SA 29-404,09 47 19.809,+44 40 26.74,13.075,0.8,0.501,0.433,+0.373,+0.811,1,1, ... , ... , ... , ... , ... , ... ,146.8325375,44.67409444444444,12.642,153.02995073264145
179,SA 29-331,09 47 19.945,+44 24 28.55,10.001,0.943,0.634,0.504,+0.475,+0.976,21,10,0.0006,0.0005,0.0008,0.0006,0.0004,0.0003,146.83310416666666,44.40793055555555,9.497,153.05058057151038
180,SA 29-251,09 47 21.715,+44 14 13.96,9.445,0.349,-0.001,0.21899999999999997,+0.220,+0.443,15,7,0.0004,0.0006,0.0011,0.0004,0.0005,0.0007,146.84047916666665,44.237211111111115,9.226,153.0703809356272
181,PG0943+521,09 47 11.942,+51 54 08.91,15.123,0.21100000000000002,-0.983,0.214,+0.277,+0.494,1,1, ... , ... , ... , ... , ... , ... ,146.7997583333333,51.902474999999995,14.908999999999999,153.07111155454936
182,SA 29-400,09 47 08.212,+44 40 07.66,14.019,0.9,0.51,0.503,+0.489,+0.987,6,3,0.0015,0.0026,0.0115,0.0024,0.0006,0.0014,146.78421666666665,44.668794444444444,13.516,153.07992799296932
183,SA 29-24,09 42 58.482,+43 50 04.87,9.59,0.5489999999999999,0.015,0.32299999999999995,+0.318,+0.645,14,7,0.0010,0.0004,0.0006,0.0011,0.0006,0.0007,145.74367499999997,43.83468611111111,9.267,164.35857834905363
184,SA 29-22,09 42 49.281,+43 49 35.75,10.474,0.565,0.10800000000000001,0.324,+0.299,+0.630,16,8,0.0006,0.0004,0.0009,0.0004,0.0005,0.0005,145.70533749999998,43.826597222222226,10.15,164.3800899475595
185,SA 29-350,09 42 08.386,+44 32 57.10,10.295,0.478,-0.006,0.285,+0.275,+0.563,19,9,0.0007,0.0006,0.0004,0.0004,0.0006,0.0007,145.53494166666664,44.549194444444446,10.01,164.38752710661882
186,SA 29-157,09 42 01.262,+44 11 46.38,11.290999999999999,0.812,0.45,0.449,+0.427,+0.874,18,9,0.0014,0.0006,0.0021,0.0007,0.0005,0.0008,145.50525833333333,44.196216666666665,10.841999999999999,164.40646902517776
187,SA 29-153,09 41 34.127,+44 12 25.37,8.79,1.111,1.089,0.57,+0.505,+1.071,10,5,0.0022,0.0008,0.0005,0.0012,0.0005,0.0004,145.39219583333332,44.20704722222222,8.219999999999999,164.41202896096948
188,GD 299,09 38 20.351,+55 05 50.08,12.093,-0.26899999999999996,-1.158,-0.085,-0.078,-0.168,12,6,0.0028,0.0010,0.0020,0.0015,0.0017,0.0018,144.58479583333332,55.09724444444445,12.178,164.44244272981885
189,SA 29-399,09 47 05.253,+44 41 02.64,13.110999999999999,0.638,0.125,0.35700000000000004,+0.351,+0.705,17,9,0.0017,0.0015,0.0020,0.0013,0.0010,0.0016,146.7718875,44.684066666666666,12.754,165.88793009058932
190,SA 29-327,09 47 04.537,+44 22 31.17,12.133,0.8029999999999999,0.384,0.45799999999999996,+0.428,+0.893,23,12,0.0007,0.0009,0.0020,0.0007,0.0011,0.0006,146.76890416666666,44.375325000000004,11.674999999999999,165.96461817427067
191,PG0943+521A,09 47 03.487,+51 55 09.32,14.497,0.9159999999999999,0.624,0.573,+0.512,+1.089,1,1, ... , ... , ... , ... , ... , ... ,146.76452916666665,51.91925555555555,13.924,166.0688514173753
192,SA 29-322,09 46 31.722,+44 22 32.87,9.766,0.488,0.03,0.285,+0.262,+0.560,14,7,0.0004,0.0004,0.0006,0.0005,0.0006,0.0010,146.632175,44.375797222222225,9.481,166.11065701279733
193,SA 29-324,09 46 53.607,+44 25 05.72,11.304,1.117,1.075,0.5820000000000001,+0.516,+1.097,21,11,0.0005,0.0009,0.0024,0.0005,0.0006,0.0009,146.7233625,44.418255555555554,10.722,166.12391695184488
194,SA 29-303,09 44 53.037,+44 25 07.54,8.292,0.602,0.174,0.344,+0.329,+0.674,4,4,0.0040,0.0005,0.0010,0.0010,0.0015,0.0010,146.22098749999995,44.41876111111111,7.9479999999999995,166.29413426443196
195,GD 98,08 57 30.443,+40 16 12.62,14.823,-0.126,-0.9309999999999999,-0.11199999999999999,-0.116,-0.233,26,12,0.0005,0.0009,0.0020,0.0031,0.0053,0.0052,134.37684583333333,40.27017222222222,14.935,167.45022011277803
196,GD 98A,08 57 17.818,+40 17 53.92,13.460999999999999,0.92,0.619,0.508,+0.472,+0.979,24,12,0.0010,0.0005,0.0023,0.0004,0.0011,0.0014,134.32424166666664,40.29831111111111,12.953,171.419573226081
197,GD 98B,08 57 09.788,+40 18 35.13,14.001,0.63,0.115,0.359,+0.346,+0.708,16,8,0.0006,0.0006,0.0006,0.0015,0.0019,0.0015,134.2907833333333,40.30975833333333,13.642,181.80969788382455
198,PG0846+558,08 49 51.084,+55 35 14.94,16.435,-0.207,-1.043,-0.073,+0.051,-0.026,1,1, ... , ... , ... , ... , ... , ... ,132.46284999999997,55.58748333333334,16.508,181.85597707138416
199,PG0846+558A,08 49 42.276,+55 34 45.17,14.690999999999999,0.8420000000000001,0.396,0.467,+0.455,+0.923,1,1, ... , ... , ... , ... , ... , ... ,132.42614999999998,55.579213888888894,14.223999999999998,181.8777555942569
200,PG0846+558B,08 49 41.020,+55 36 08.52,14.799000000000001,0.745,0.142,0.424,+0.416,+0.842,1,1, ... , ... , ... , ... , ... , ... ,132.42091666666664,55.60236666666667,14.375000000000002,181.92323326534643
201,KUV 345-30,08 43 12.709,+39 44 49.73,14.324000000000002,-0.27899999999999997,-1.127,-0.121,-0.141,-0.263,4,2,0.0025,0.0020,0.0055,0.0025,0.0095,0.0090,130.80295416666664,39.747147222222225,14.445000000000002,182.18332944325874
202,KUV 345-30A,08 43 09.810,+39 46 15.09,14.619000000000002,0.627,0.07200000000000001,0.365,+0.366,+0.730,5,2,0.0018,0.0031,0.0098,0.0022,0.0022,0.0009,130.79087499999997,39.77085833333333,14.254000000000001,182.2747279013214
203,PG0837+401A,08 41 04.495,+39 57 05.65,14.752,0.922,0.747,0.536,+0.472,+1.016,11,5,0.0025,0.0010,0.0035,0.0010,0.0071,0.0069,130.26872916666665,39.951569444444445,14.216000000000001,195.74997324864225
204,PG0837+401C,08 41 00.157,+39 55 54.49,12.181,0.556,0.021,0.33799999999999997,+0.346,+0.685,7,4,0.0015,0.0019,0.0016,0.0018,0.0018,0.0032,130.25065416666666,39.931802777777776,11.843,195.8141258301687
205,PG0837+401B,08 40 58.400,+39 56 27.82,13.702,0.71,0.163,0.424,+0.402,+0.820,7,4,0.0127,0.0066,0.0028,0.0040,0.0021,0.0021,130.2433333333333,39.94106111111111,13.278,195.8196798347899
206,PG0837+401,08 41 01.307,+39 56 18.13,15.505999999999998,-0.245,-0.986,-0.136,-0.262,-0.396,11,5,0.0049,0.0015,0.0030,0.0074,0.0120,0.0116,130.2554458333333,39.93836944444444,15.641999999999998,195.87374597443073
207,GD 91A,08 30 16.361,+45 19 50.28,12.437000000000001,1.018,0.767,0.532,+0.504,+1.037,5,3,0.0013,0.0022,0.0076,0.0009,0.0027,0.0022,127.56817083333333,45.33063333333334,11.905000000000001,195.8842586122804
208,GD 91B,08 30 10.294,+45 19 10.14,13.626,0.9690000000000001,0.838,0.5429999999999999,+0.454,+0.993,5,3,0.0040,0.0022,0.0157,0.0022,0.0045,0.0022,127.54289166666666,45.31948333333334,13.083,195.92067581518074
209,SA 26-96,06 45 17.185,+44 27 43.18,10.75,0.5479999999999999,0.01,0.332,+0.331,+0.664,2,1,0.0014,0.0014,0.0085,0.0021,0.0014,0.0035,101.32160416666666,44.46199444444445,10.418,195.9939840595804
210,SA 26-95,06 45 16.159,+44 32 04.67,11.988,0.546,0.016,0.326,+0.321,+0.644,24,12,0.0024,0.0017,0.0050,0.0011,0.0012,0.0015,101.31732916666665,44.53463055555555,11.661999999999999,196.02011498338638
211,GD 91,08 30 09.451,+45 20 30.39,15.069,0.182,-0.52,0.037000000000000005,+0.060,+0.094,5,3,0.0045,0.0080,0.0031,0.0094,0.0157,0.0103,127.53937916666665,45.341775000000005,15.032,196.03603830380993
212,SA 26-93,06 45 13.215,+44 30 56.56,11.071,1.7,1.7719999999999998,1.3780000000000001,+1.629,+3.001,20,11,0.0040,0.0008,0.0030,0.0025,0.0006,0.0007,101.30506249999999,44.51571111111111,9.693,196.04926367765407
213,SA 26-272,06 44 24.818,+44 46 17.78,14.399000000000001,0.919,0.5820000000000001,0.51,+0.465,+1.000,3,2,0.0054,0.0058,0.0091,0.0014,0.0085,0.0085,101.10340833333332,44.77160555555555,13.889000000000001,196.04935838779306
214,SA 26-269,06 44 21.694,+44 47 43.74,14.855,0.535,0.062,0.303,+0.371,+0.672,3,2,0.0044,0.0007,0.0027,0.0014,0.0094,0.0093,101.09039166666665,44.79548333333333,14.552,196.05121299487124
215,SA 26-280,06 44 39.784,+44 48 25.64,11.089,1.082,0.8440000000000001,0.579,+0.537,+1.125,15,8,0.0011,0.0010,0.0011,0.0006,0.0012,0.0006,101.16576666666666,44.80712222222222,10.51,196.05204000081036
216,SA 26-279,06 44 38.232,+44 46 44.95,14.634,0.6609999999999999,0.08,0.401,+0.362,+0.764,1,1, ... , ... , ... , ... , ... , ... ,101.15929999999999,44.779152777777774,14.233,196.06743911900537
217,SA 26-172,06 44 31.718,+44 34 05.88,9.58,0.264,0.12300000000000001,0.14400000000000002,+0.147,+0.289,12,6,0.0010,0.0006,0.0013,0.0009,0.0014,0.0006,101.13215833333332,44.5683,9.436,196.08568454750727
218,SA 26-278,06 44 32.844,+44 47 18.28,15.36,0.765,0.16699999999999998,0.517,+0.437,+0.950,1,1, ... , ... , ... , ... , ... , ... ,101.13684999999998,44.78841111111111,14.843,196.09472781931441
219,SA 26-273,06 44 25.825,+44 48 21.60,15.338,0.722,0.204,0.442,+0.356,+0.776,3,2,0.0083,0.0095,0.0085,0.0077,0.0099,0.0099,101.10760416666665,44.806,14.895999999999999,196.0977048304887
220,SA 26-268,06 44 19.474,+44 47 35.10,15.366,1.0290000000000001,0.8190000000000001,0.615,+0.533,+1.138,10,5,0.0073,0.0032,0.0241,0.0070,0.0100,0.0168,101.08114166666665,44.79308333333333,14.751,196.1004190320619
221,SA 26-265,06 44 14.929,+44 47 41.53,14.459000000000001,0.602,-0.066,0.384,+0.401,+0.792,25,12,0.0027,0.0027,0.0026,0.0011,0.0030,0.0027,101.06220416666666,44.794869444444444,14.075000000000001,196.101620862256
222,SA 26-264,06 44 14.139,+44 46 42.13,15.092,0.631,0.09699999999999999,0.376,+0.347,+0.715,12,6,0.0018,0.0028,0.0062,0.0027,0.0054,0.0078,101.05891249999998,44.778369444444444,14.716000000000001,196.12166713377766
223,SA 26-262,06 44 05.750,+44 47 22.64,13.1,0.741,0.253,0.43,+0.412,+0.842,6,3,0.0045,0.0015,0.0032,0.0010,0.0011,0.0021,101.02395833333333,44.78962222222222,12.67,196.19365694061057
224,SA 26-150,06 43 37.042,+44 43 20.73,9.506,1.01,0.747,0.539,+0.494,+1.040,10,5,0.0006,0.0005,0.0014,0.0004,0.0011,0.0013,100.90434166666665,44.722425,8.967,196.28707852648878
225,SA 26-139,06 43 09.275,+44 40 03.79,11.335,0.838,0.542,0.46799999999999997,+0.404,+0.875,13,7,0.0019,0.0008,0.0022,0.0006,0.0003,0.0004,100.78864583333332,44.667719444444444,10.867,196.2880530284595
226,SA 26-60,06 43 41.731,+44 30 45.40,9.542,0.125,0.175,0.08800000000000001,+0.069,+0.157,8,4,0.0030,0.0009,0.0009,0.0009,0.0019,0.0010,100.92387916666665,44.51261111111111,9.454,196.35995617380433
227,SA 26-58,06 43 38.231,+44 25 11.15,8.507,0.535,0.047,0.315,+0.297,+0.612,4,2,0.0035,0.0005,0.0020,0.0015,0.0015,0.0005,100.90929583333333,44.41976388888889,8.192,196.3707313717681
228,SA 26-234,06 43 07.334,+44 50 32.75,9.371,0.583,0.15,0.33899999999999997,+0.317,+0.655,12,6,0.0011,0.0005,0.0008,0.0004,0.0004,0.0004,100.78055833333333,44.84243055555556,9.032,196.37488682911797
229,SA 26-135,06 42 58.715,+44 38 52.53,9.117,1.11,0.9179999999999999,0.583,+0.530,+1.113,7,4,0.0019,0.0006,0.0011,0.0005,0.0012,0.0013,100.74464583333332,44.647925,8.534,196.3918331452543
230,SA 26-231,06 42 51.320,+44 51 18.46,10.732000000000001,1.117,0.92,0.599,+0.549,+1.144,14,7,0.0011,0.0005,0.0008,0.0006,0.0004,0.0003,100.71383333333333,44.85512777777778,10.133000000000001,196.4008251460699
231,GD 64E,04 57 26.257,+41 55 52.18,11.530999999999999,0.239,0.071,0.14400000000000002,+0.171,+0.313,2,1,0.0007,0.0014,0.0014,0.0007,0.0021,0.0035,74.35940416666665,41.93116111111111,11.386999999999999,196.42870578438902
232,GD 64,04 57 22.540,+41 55 56.45,13.975999999999999,0.063,-0.5589999999999999,-0.07400000000000001,-0.069,-0.146,3,2,0.0021,0.0080,0.0075,0.0058,0.0014,0.0007,74.34391666666666,41.93234722222222,14.049999999999999,196.43319416687643
233,SA 26-27,06 42 39.409,+44 31 47.34,10.86,0.611,0.113,0.375,+0.355,+0.732,10,5,0.0009,0.0008,0.0017,0.0006,0.0010,0.0016,100.66420416666665,44.52981666666667,10.485,196.45591600976562
234,GD 64A,04 57 25.311,+41 55 30.57,14.437999999999999,0.6579999999999999,0.114,0.414,+0.416,+0.834,3,2,0.0058,0.0054,0.0088,0.0007,0.0027,0.0014,74.35546249999999,41.92515833333333,14.024,196.45933956127558
235,SA 26-219,06 42 23.097,+44 47 54.40,10.632,0.509,0.004,0.32299999999999995,+0.326,+0.651,15,7,0.0011,0.0005,0.0006,0.0004,0.0004,0.0007,100.59623749999999,44.79844444444444,10.309,196.46108811191255
236,GD 64F,04 57 28.704,+41 55 50.45,12.195,1.819,2.177,1.082,+1.036,+2.123,2,1,0.0014,0.0007,0.0021,0.0014,0.0035,0.0014,74.36959999999999,41.930680555555554,11.113,196.48044311561904
237,GD 64C,04 57 21.370,+41 54 23.70,12.915,0.625,0.075,0.406,+0.406,+0.815,2,1,0.0071,0.0071,0.0085,0.0014,0.0021,0.0071,74.33904166666666,41.90658333333333,12.508999999999999,196.53358034728393
238,GD 61C,04 38 27.184,+41 10 07.68,13.731,0.5479999999999999,0.32,0.344,+0.357,+0.697,14,7,0.0009,0.0007,0.0013,0.0006,0.0010,0.0013,69.61326666666665,41.1688,13.387,196.5363166374504
239,SA 23-300,03 45 56.378,+45 14 43.91,9.437000000000001,0.474,-0.005,0.293,+0.287,+0.579,9,5,0.0007,0.0007,0.0013,0.0007,0.0014,0.0007,56.48490833333332,45.245530555555554,9.144000000000002,196.5402288282189
240,GD 64B,04 57 18.332,+41 55 28.12,13.923,0.7,0.151,0.44299999999999995,+0.432,+0.880,2,1,0.0014,0.0035,0.0156,0.0014,0.0007,0.0007,74.32638333333333,41.924477777777774,13.48,196.54209696014027
241,GD 61A,04 38 41.533,+41 10 51.24,14.42,0.415,0.22699999999999998,0.261,+0.327,+0.595,14,7,0.0005,0.0015,0.0010,0.0007,0.0022,0.0038,69.67305416666666,41.1809,14.159,196.55811356801934
242,GD 64D,04 57 08.313,+41 55 12.86,12.799000000000001,0.595,0.19,0.37,+0.368,+0.739,2,1,0.0014,0.0007,0.0071,0.0071,0.0007,0.0007,74.28463749999999,41.92023888888889,12.429000000000002,196.56440354773864
243,GD 61,04 38 39.369,+41 09 32.37,14.879000000000001,-0.11199999999999999,-0.966,-0.053,-0.043,-0.091,16,7,0.0008,0.0011,0.0025,0.0027,0.0088,0.0108,69.66403749999998,41.158991666666665,14.932000000000002,196.57762453160538
244,GD 61B,04 38 29.122,+41 11 00.48,14.129000000000001,0.317,0.139,0.191,+0.232,+0.431,14,7,0.0006,0.0011,0.0006,0.0018,0.0021,0.0012,69.62134166666665,41.18346666666666,13.938,196.591152307242
245,SA 23-444,03 45 48.007,+45 27 17.36,15.433,0.932,0.47,0.55,+0.514,+1.071,4,2,0.0030,0.0125,0.0455,0.0065,0.0105,0.0035,56.45002916666666,45.45482222222223,14.883,196.63038921402386
246,SA 23-443,03 45 45.754,+45 25 33.98,10.690999999999999,0.604,0.195,0.368,+0.369,+0.740,2,1,0.0014,0.0014,0.0035,0.0007,0.0007,0.0014,56.44064166666666,45.42610555555555,10.322999999999999,196.6306499251039
247,SA 23-441,03 45 39.328,+45 25 37.28,14.512,1.004,0.511,0.573,+0.556,+1.132,7,3,0.0098,0.0038,0.0125,0.0042,0.0045,0.0030,56.413866666666664,45.42702222222222,13.939,197.3936943321462
248,SA 23-440,03 45 39.288,+45 28 12.70,12.03,0.861,0.423,0.493,+0.464,+0.964,3,2,0.0035,0.0006,0.0046,0.0029,0.0012,0.0023,56.41369999999999,45.470194444444445,11.536999999999999,209.7765499340528
249,SA 23-439,03 45 38.594,+45 25 15.33,14.999,0.8690000000000001,0.34,0.512,+0.537,+1.049,2,1,0.0057,0.0042,0.0141,0.0014,0.0198,0.0177,56.41080833333332,45.420925,14.487,210.05478937108109
250,SA 23-436,03 45 33.388,+45 27 12.92,13.876,1.645,1.671,0.915,+0.840,+1.762,20,8,0.0016,0.0025,0.0034,0.0010,0.0005,0.0010,56.38911666666666,45.453588888888895,12.960999999999999,210.1521031939209
251,SA 23-435,03 45 31.545,+45 27 19.89,13.474,0.755,0.22,0.469,+0.476,+0.945,15,7,0.0012,0.0005,0.0032,0.0013,0.0008,0.0006,56.38143749999999,45.455525,13.005,210.29151105865978
252,SA 23-433,03 45 27.133,+45 28 46.63,14.526,0.6579999999999999,0.38,0.386,+0.386,+0.775,6,3,0.0013,0.0018,0.0014,0.0030,0.0013,0.0050,56.36305416666666,45.479619444444445,14.14,210.37443722672617
253,SA 23-438,03 45 35.825,+45 24 31.45,13.327,0.8859999999999999,0.36200000000000004,0.511,+0.514,+1.024,2,1,0.0007,0.0035,0.0113,0.0014,0.0049,0.0028,56.399270833333325,45.40873611111111,12.816,210.522604822202
254,SA 23-264,03 45 04.420,+45 17 48.41,10.335,1.0979999999999999,0.993,0.591,+0.521,+1.109,9,5,0.0012,0.0012,0.0013,0.0005,0.0006,0.0012,56.26841666666666,45.29678055555556,9.744000000000002,210.61842592928525
255,SA 23-57,03 44 59.361,+45 03 47.90,10.368,1.879,2.213,1.169,+1.265,+2.443,16,8,0.0007,0.0013,0.0041,0.0009,0.0009,0.0008,56.24733749999999,45.06330555555555,9.199,211.06651413935532
256,SA 23-418,03 44 56.347,+45 18 59.93,11.716,0.7,0.154,0.40700000000000003,+0.385,+0.798,10,5,0.0005,0.0008,0.0013,0.0012,0.0006,0.0006,56.23477916666666,45.31664722222222,11.309,214.94078851865257
257,SA 23-561,03 44 53.412,+45 30 25.87,10.546,0.515,0.391,0.287,+0.301,+0.589,9,5,0.0005,0.0010,0.0011,0.0009,0.0007,0.0006,56.22254999999999,45.50718611111111,10.258999999999999,214.9712556077654
258,SA 23-246,03 44 43.903,+45 18 01.25,11.7,0.278,0.124,0.154,+0.165,+0.318,11,6,0.0010,0.0005,0.0022,0.0005,0.0005,0.0010,56.18292916666666,45.30034722222222,11.546,214.9766306359778
259,SA 23-45,03 44 42.135,+45 04 43.53,9.972000000000001,1.249,1.16,0.6629999999999999,+0.594,+1.250,13,7,0.0013,0.0007,0.0007,0.0004,0.0007,0.0005,56.17556249999999,45.07875833333334,9.309000000000001,215.01181145957528
260,SA 23-241,03 44 36.960,+45 17 59.22,12.312000000000001,0.768,0.249,0.45799999999999996,+0.448,+0.904,13,7,0.0013,0.0016,0.0028,0.0007,0.0008,0.0009,56.153999999999996,45.29978333333333,11.854000000000001,215.07452477088984
261,SA 23-402,03 44 23.010,+45 23 37.73,9.835,0.172,-0.455,0.11,+0.114,+0.226,17,9,0.0008,0.0010,0.0016,0.0004,0.0006,0.0007,56.09587499999999,45.393813888888886,9.725000000000001,215.09303019356534
262,SA 23-15,03 44 05.128,+45 06 03.00,10.658,0.375,0.16699999999999998,0.20199999999999999,+0.213,+0.415,12,7,0.0006,0.0005,0.0013,0.0005,0.0009,0.0005,56.02136666666666,45.100833333333334,10.456,215.10703779475966
263,SA 23-198,03 43 56.438,+45 09 41.46,11.559000000000001,0.192,-0.389,0.133,+0.144,+0.274,18,10,0.0009,0.0009,0.0012,0.0007,0.0007,0.0004,55.985158333333324,45.161516666666664,11.426000000000002,215.11516054806137
264,SA 23-195,03 43 51.964,+45 10 02.52,12.125,0.688,0.275,0.42100000000000004,+0.429,+0.855,20,10,0.0008,0.0009,0.0019,0.0008,0.0008,0.0009,55.966516666666664,45.167366666666666,11.704,215.13520241608967
265,GD 38,03 02 30.970,+38 01 00.10,15.74,-0.214,-1.102,-0.16399999999999998,-0.184,-0.346,1,1, ... , ... , ... , ... , ... , ... ,45.62904166666666,38.01669444444445,15.904,215.1555146320077
266,GD 283,02 35 30.708,+57 15 24.50,13.735999999999999,0.145,-0.5329999999999999,-0.028999999999999998,-0.008,-0.039,1,1, ... , ... , ... , ... , ... , ... ,38.87795,57.25680555555556,13.764999999999999,215.95677230271016
267,GD 281,02 03 12.919,+54 48 28.68,13.955,0.5870000000000001,-0.047,0.386,+0.368,+0.754,1,1, ... , ... , ... , ... , ... , ... ,30.803829166666663,54.807966666666665,13.569,216.43858039124564
268,GD 279I,01 52 09.789,+47 00 03.75,14.443,0.9790000000000001,0.5820000000000001,0.545,+0.535,+1.079,8,4,0.0028,0.0035,0.0166,0.0032,0.0078,0.0099,28.040787499999997,47.001041666666666,13.898,216.44491072630285
