|Unnamed: 0|Star|RAh|RAm|RAs|DEd|DEm|DEs|V|B-V|U-B|V-R|R-I|V-I|n|m|e_V|e_B-V|e_U-B|e_V-R|e_R-I|e_V-I|RA_deg|DEC_deg|RA_hhmmss|DEC_ddmmss|R|dxy_deg
170|468|110 502|18.0|43.0|10.111|0.0|27.0|42.37|12.33|2.326|2.326|1.3730000000000002|1.25|2.625|38|19|0.0031|0.0047|0.0225|0.0019|0.0024|0.0041|280.7921291666666|0.4617694444444445|18 43 10.111|0 27 42.37|10.957|49.50893938691025
171|445|110 233|18.0|40.0|52.709|0.0|0.0|50.85|12.771|1.281|0.812|0.773|0.818|1.5930000000000002|22|10|0.0028|0.0034|0.007|0.0021|0.0015|0.0021|280.2196208333333|0.014125|18 40 52.708999999999996|0 0 50.85|11.998|49.52259130115264
172|451|110 346|18.0|41.0|55.208|0.0|9.0|58.39|14.757|0.999|0.752|0.6970000000000001|0.6459999999999999|1.345|1|1|||||||280.4800333333333|0.16621944444444445|18 41 55.208|0 9 58.39|14.06|49.55626669222757
173|454|110 358|18.0|42.0|35.516|0.0|15.0|1.97|14.43|1.039|0.418|0.603|0.5429999999999999|1.15|1|1|||||||280.64798333333334|0.2505472222222222|18 42 35.516|0 15 1.97|13.827|49.58992532623709
174|452|110 349|18.0|42.0|13.409|0.0|10.0|15.21|15.095|1.088|0.6679999999999999|0.503|-0.059000000000000004|0.47700000000000004|1|1|||||||280.5558708333333|0.17089166666666664|18 42 13.409|0 10 15.21|14.592|49.59807406651426
175|446|110 239|18.0|41.0|19.795|0.0|0.0|13.58|13.858|0.899|0.584|0.541|0.517|1.06|1|1|||||||280.33247916666664|0.003772222222222223|18 41 19.795|0 0 13.58|13.316999999999998|49.59815327189523
176|450|110 246|18.0|41.0|50.757|0.0|5.0|4.51|12.706|0.586|-0.129|0.381|0.41|0.79|1|1|||||||280.4614875|0.08458611111111111|18 41 50.757|0 5 4.51|12.325|49.61048485685993
177|453|110 355|18.0|42.0|18.933|0.0|8.0|24.22|11.944|1.023|0.504|0.652|0.727|1.3780000000000001|16|8|0.0027|0.003|0.0045|0.0022|0.0022|0.0035|280.57888749999995|0.1400611111111111|18 42 18.933|0 8 24.22|11.292000000000002|49.63654836653063
178|474|110 441|18.0|43.0|33.607|0.0|19.0|40.72|11.122|0.556|0.108|0.325|0.335|0.66|84|74|0.0006|0.0005|0.0011|0.0005|0.0006|0.0009|280.89002916666664|0.32797777777777776|18 43 33.607|0 19 40.72|10.797|49.67468969957624
179|477|110 450|18.0|43.0|51.474|0.0|22.0|58.46|11.583|0.946|0.6829999999999999|0.5489999999999999|0.626|1.175|93|83|0.0006|0.0007|0.0017|0.0006|0.0007|0.001|280.96447499999994|0.3829055555555556|18 43 51.474|0 22 58.46|11.034|49.67629565119853
