|objName|objID|raMean|decMean|raMeanErr|decMeanErr|epochMean|nStackDetections|nDetections|ng|nr|ni|nz|ny|gQfPerfect|gMeanPSFMag|gMeanPSFMagErr|gMeanPSFMagStd|gMeanPSFMagNpt|gMeanPSFMagMin|gMeanPSFMagMax|gFlags|rQfPerfect|rMeanPSFMag|rMeanPSFMagErr|rMeanPSFMagStd|rMeanPSFMagNpt|rMeanPSFMagMin|rMeanPSFMagMax|rFlags|iQfPerfect|iMeanPSFMag|iMeanPSFMagErr|iMeanPSFMagStd|iMeanPSFMagNpt|iMeanPSFMagMin|iMeanPSFMagMax|iFlags|zQfPerfect|zMeanPSFMag|zMeanPSFMagErr|zMeanPSFMagStd|zMeanPSFMagNpt|zMeanPSFMagMin|zMeanPSFMagMax|zFlags|yQfPerfect|yMeanPSFMag|yMeanPSFMagErr|yMeanPSFMagStd|yMeanPSFMagNpt|yMeanPSFMagMin|yMeanPSFMagMax|yFlags|Rmag
4305|PSO J250.8751+39.8105|155772508750963186|250.87507666|39.81048065|0.0010100000072270632|0.0027600000612437725|56728.1346875|5|98|17|18|32|19|12|0.9998459815979004|16.022699356079098|0.0023330000694841146|0.00890900008380413|12|16.00779914855957|16.033100128173828|115000|0.9991739988327026|15.578900337219238|0.002031000098213553|0.008852000348269941|12|15.562199592590332|15.592100143432615|115000|0.9994220137596129|15.41759967803955|0.0020449999719858174|0.009967000223696232|20|15.404800415039062|15.434700012207033|115000|0.9994750022888184|15.386300086975098|0.002962999977171421|0.01143800001591444|16|15.36400032043457|15.399999618530273|115000|0.999800980091095|15.34850025177002|0.0028750000055879354|0.010948999784886835|12|15.331700325012207|15.36400032043457|115000|15.387642463684081
4576|PSO J250.9043+39.8477|155812509043127857|250.90429428|39.84769328|0.0012600000482052565|0.001129999989643693|56751.58465278|5|93|12|13|32|17|19|0.9990450143814088|16.00670051574707|0.0038989998865872617|0.013019000180065632|11|15.991000175476074|16.028099060058597|115000|0.9996839761734008|15.633700370788574|0.002536999993026257|0.009235000237822531|10|15.625699996948242|15.648699760437012|115000|0.9999499917030334|15.493200302124025|0.002416000002995133|0.012966999784111977|26|15.472900390625|15.514900207519533|115000|0.9997249841690063|15.471799850463867|0.0022640000097453594|0.00953300017863512|14|15.454299926757812|15.483499526977539|115000|0.9993849992752076|15.438300132751465|0.005319000221788883|0.021196000277996063|19|15.40149974822998|15.477800369262695|115000|15.448549550628663
4909|PSO J250.9638+39.8218|155782509638906837|250.96382305|39.82180558|0.06255999952554703|0.08167999982833862|56778.93024306|5|109|17|20|36|17|19|0.9997050166130066|14.749500274658205|0.0055359997786581525|0.024891000241041183|11|14.716099739074707|14.79930019378662|16892216|0.9996929764747621|14.535799980163574|0.03541500121355057|0.08525499701499939|12|14.434300422668455|14.69480037689209|16892216|0.9998289942741394|14.308600425720215|0.014395000413060188|0.0773480013012886|19|14.203200340270994|14.455300331115724|16892216|0.9996089935302734|14.421600341796875|0.015975000336766243|0.05371600016951561|12|14.33899974822998|14.476099967956545|16892216|0.9997360110282898|14.377799987792967|0.010289999656379223|0.02853699959814548|13|14.317500114440918|14.427300453186035|16892216|14.399443236064911
4910|PSO J250.9642+39.8222|155782509641687322|250.96416088|39.82222455|0.04357999935746193|0.04707999899983406|55652.58123843|0|12|0|4|1|2|5|-999.0|-999.0|-999.0|-999.0|0|-999.0|-999.0|0|1.0|15.371600151062012|0.0022470001131296162|-999.0|1|15.371600151062012|15.371600151062012|16777496|0.8942099809646606|15.307900428771973|0.002090000081807375|-999.0|1|15.307900428771973|15.307900428771973|24|1.0|15.211099624633787|0.003258999902755022|-999.0|1|15.211099624633787|15.211099624633787|280|1.0|16.048999786376953|0.010520000010728836|-999.0|1|16.048999786376953|16.048999786376953|16777496|15.208997912597656
5601|PSO J250.8043+39.9309|155912508042947756|250.80430747|39.93092686|0.0009800000116229057|0.0021699999924749136|56695.59651619999|5|108|18|21|31|21|17|0.9997590184211732|15.738499641418455|0.002342999912798405|0.01126299984753132|16|15.723899841308596|15.757399559020994|115000|0.9996989965438844|15.319899559020994|0.0021269998978823428|0.011553999967873095|14|15.305999755859375|15.34160041809082|115000|0.999642014503479|15.17020034790039|0.0014019999653100967|0.005559999961405993|20|15.160099983215332|15.181400299072266|115000|0.9996989965438844|15.1496000289917|0.0028830000665038824|0.010971000418066978|17|15.129199981689453|15.163599967956545|115000|0.9993979930877686|15.114700317382812|0.0042860000394284725|0.014271999709308147|16|15.085399627685547|15.131999969482422|115000|15.145902723884582
5693|PSO J251.0241+39.8382|155802510238856348|251.02408894|39.8382262|0.02198999933898449|0.02198999933898449|56405.38177083|0|3|0|1|2|0|0|-999.0|-999.0|-999.0|-999.0|0|-999.0|-999.0|0|0.8760740160942078|14.07409954071045|0.001000000047497451|-999.0|1|14.07409954071045|14.07409954071045|16778256|0.062199998646974564|13.014300346374512|0.001000000047497451|-999.0|1|13.014300346374512|13.014300346374512|16778264|-999.0|-999.0|-999.0|-999.0|0|-999.0|-999.0|0|-999.0|-999.0|-999.0|-999.0|0|-999.0|-999.0|0|13.619042497253417
5697|PSO J251.0245+39.8378|155802510244356101|251.02448423|39.83782885|0.13856999576091766|0.1399800032377243|57005.69744213|4|100|14|18|36|13|19|-999.0|12.199000358581545|-999.0|-999.0|0|-999.0|-999.0|16484|-999.0|11.784000396728516|-999.0|-999.0|0|-999.0|-999.0|147556|-999.0|11.644000053405762|-999.0|-999.0|0|-999.0|-999.0|114788|-999.0|11.597000122070312|-999.0|-999.0|0|-999.0|-999.0|114788|-999.0|11.579000473022461|-999.0|-999.0|0|-999.0|-999.0|114788|11.610664903736115
5700|PSO J251.0245+39.8375|155802510246745807|251.02447176|39.83752758|0.03843000158667565|0.03843000158667565|56875.29736111|0|2|0|1|1|0|0|-999.0|-999.0|-999.0|-999.0|0|-999.0|-999.0|0|0.09025999903678894|12.810999870300293|0.001000000047497451|-999.0|1|12.810999870300293|12.810999870300293|16|0.5587459802627563|13.359100341796875|0.0012179999612271786|-999.0|1|13.359100341796875|13.359100341796875|16777232|-999.0|-999.0|-999.0|-999.0|0|-999.0|-999.0|0|-999.0|-999.0|-999.0|-999.0|0|-999.0|-999.0|0|12.828022168731689
6879|PSO J250.6238+39.7640|155712506238657378|250.62378991|39.76397899|0.004600000102072954|0.0061900001019239426|56774.24289352|5|92|18|18|32|15|9|0.999633014202118|16.25309944152832|0.0035979999229311947|0.017495999112725258|11|16.232200622558597|16.284400939941403|115000|0.9993919730186462|15.069600105285645|0.004416000097990036|0.014142000116407871|16|15.04669952392578|15.092700004577635|115000|0.9995279908180236|13.9552001953125|0.002193999942392111|0.009979999624192716|19|13.93369960784912|13.970499992370605|115000|0.9993849992752076|13.461600303649902|0.0034209999721497297|0.01088900025933981|12|13.444100379943848|13.47920036315918|115000|0.9993039965629578|13.212300300598145|0.008407000452280045|0.020306000486016273|6|13.195300102233887|13.243599891662598|115000|14.59851229171753
7010|PSO J250.5347+39.7272|155672505346723260|250.53467462|39.72717873|0.002369999885559082|0.002360000042244792|56751.624375|10|90|17|13|30|17|13|0.9997220039367676|16.37339973449707|0.001538999960757792|0.0063599999994039536|12|16.36079978942871|16.382099151611328|115000|0.9996600151062012|15.834099769592285|0.005332000087946653|0.012938999570906162|12|15.814000129699707|15.850899696350098|115000|0.9997770190238952|15.637299537658693|0.0020389999262988567|0.009921999648213388|21|15.618800163269045|15.656399726867676|115000|0.9994810223579408|15.575599670410154|0.003982000052928925|0.014034999534487724|13|15.557600021362305|15.600000381469727|115000|0.9994890093803406|15.508700370788574|0.0031449999660253525|0.013532999902963638|12|15.49370002746582|15.53030014038086|115000|15.632419221496582
