|IAU_Name|ObjectName|RA_hhmmss|DEC_ddmmss|Redshift|RefStarRegFile|RefStarID|Rmag|Rmag_err|NoteIdx|Note
70|1253-055|3C279|12 56 11.1|-05 47 22|0.5362|RefStars_3C279_fk5.reg|3|12.53|0.02|1|recommend
71|1253-055|3C279|12 56 11.1|-05 47 22|0.5362|RefStars_3C279_fk5.reg|4|15.13|0.02|2|notRecommend
72|1253-055|3C279|12 56 11.1|-05 47 22|0.5362|RefStars_3C279_fk5.reg|5|12.47|0.02|1|recommend
73|1510-089|PKS1510-08|15 12 50.5|-09 06 00|0.36|RefStars_PKS1510-08_fk5.reg|1|11.14|0.02|2|notRecommend
74|1510-089|PKS1510-08|15 12 50.5|-09 06 00|0.36|RefStars_PKS1510-08_fk5.reg|2|12.88|0.03|1|recommend
75|1510-089|PKS1510-08|15 12 50.5|-09 06 00|0.36|RefStars_PKS1510-08_fk5.reg|3|13.95|0.03|1|recommend
76|1510-089|PKS1510-08|15 12 50.5|-09 06 00|0.36|RefStars_PKS1510-08_fk5.reg|4|14.22|0.03|1|recommend
77|1510-089|PKS1510-08|15 12 50.5|-09 06 00|0.36|RefStars_PKS1510-08_fk5.reg|5|14.35|0.05|1|recommend
78|1510-089|PKS1510-08|15 12 50.5|-09 06 00|0.36|RefStars_PKS1510-08_fk5.reg|6|14.61|0.02|1|recommend
79|1611+343|DA406|16 13 41.0|+34 12 48|1.401|RefStars_DA406_fk5.reg|A|14.81|0.05|2|notRecommend
80|1611+343|DA406|16 13 41.0|+34 12 48|1.401|RefStars_DA406_fk5.reg|C|13.69|0.04|1|recommend
81|1611+343|DA406|16 13 41.0|+34 12 48|1.401|RefStars_DA406_fk5.reg|C1|11.63|0.03|2|notRecommend
82|1611+343|DA406|16 13 41.0|+34 12 48|1.401|RefStars_DA406_fk5.reg|C2|13.34|0.03|1|recommend
83|1633+382|4C38.41|16 35 15.5|+38 08 04|1.8135700000000001|RefStars_4C38.41_fk5.reg|A|15.48|0.05|1|recommend
84|1633+382|4C38.41|16 35 15.5|+38 08 04|1.8135700000000001|RefStars_4C38.41_fk5.reg|B|15.44|0.05|1|recommend
85|1633+382|4C38.41|16 35 15.5|+38 08 04|1.8135700000000001|RefStars_4C38.41_fk5.reg|C|17.22|0.1|2|notRecommend
86|1641+399|3C345|16 42 58.8|+39 48 37|0.5928|RefStars_3C345_fk5.reg|4|14.767999999999999|0.006|1|recommend
87|1641+399|3C345|16 42 58.8|+39 48 37|0.5928|RefStars_3C345_fk5.reg|10|13.644|0.01|1|recommend
88|1641+399|3C345|16 42 58.8|+39 48 37|0.5928|RefStars_3C345_fk5.reg|12|15.04|0.009000000000000001|1|recommend
89|1641+399|3C345|16 42 58.8|+39 48 37|0.5928|RefStars_3C345_fk5.reg|19|14.47|0.006|1|recommend
90|1652+398|Mkn501|16 53 52.2|+39 45 37|0.033663|RefStars_Mkn501_fk5.reg|1|12.11|0.02|1|recommend
91|1652+398|Mkn501|16 53 52.2|+39 45 37|0.033663|RefStars_Mkn501_fk5.reg|2|12.79|0.02|1|recommend
92|1652+398|Mkn501|16 53 52.2|+39 45 37|0.033663|RefStars_Mkn501_fk5.reg|3|14.8|0.02|2|notRecommend
93|1652+398|Mkn501|16 53 52.2|+39 45 37|0.033663|RefStars_Mkn501_fk5.reg|4|14.96|0.02|1|recommend
94|1652+398|Mkn501|16 53 52.2|+39 45 37|0.033663|RefStars_Mkn501_fk5.reg|5|15.08|0.02|2|notRecommend
95|1652+398|Mkn501|16 53 52.2|+39 45 37|0.033663|RefStars_Mkn501_fk5.reg|6|14.99|0.04|1|recommend
96|1739+522|4C51.37|17 40 37.0|+52 11 43|1.375|RefStars_4C51.37_fk5.reg|A|15.63|0.1|1|recommend
97|1739+522|4C51.37|17 40 37.0|+52 11 43|1.375|RefStars_4C51.37_fk5.reg|B|17.06|0.1|1|recommend
98|1739+522|4C51.37|17 40 37.0|+52 11 43|1.375|RefStars_4C51.37_fk5.reg|C|17.32|0.1|1|recommend
99|1739+522|4C51.37|17 40 37.0|+52 11 43|1.375|RefStars_4C51.37_fk5.reg|D|17.14|0.1|1|recommend
100|1807+698|3C371|18 06 50.7|+69 49 28|0.051|RefStars_3C371_fk5.reg|C1|13.78|0.06|0|selfStar,recommend
101|1807+698|3C371|18 06 50.7|+69 49 28|0.051|RefStars_3C371_fk5.reg|C2|15.95|0.1|1|recommend
