YYYYMMDD	Filter	Target
20140715	R	DA406
20140715	R	Mkn501
20140715	R	PKS2155-304
20140716	R	3C345
20140716	R	3C371
20140716	R	3C454-3
20140716	R	3C66A
20140716	R	4C38-41
20140716	R	4C51-37
20140716	R	AO0235+16
20140716	R	CTA102
20140716	R	DA406
20140716	R	Mkn501
20140716	R	ON231
20140716	R	PKS2155-304
20140717	R	3C345
20140717	R	3C371
20140717	R	3C454-3
20140717	R	3C66A
20140717	R	4C38-41
20140717	R	4C51-37
20140717	R	AO0235+16
20140717	R	CTA102
20140717	R	DA406
20140717	R	Mkn501
20140717	R	PKS2155-304
20140718	R	3C345
20140718	R	3C371
20140718	R	3C454-3
20140718	R	3C66A
20140718	R	4C38-41
20140718	R	4C51-37
20140718	R	CTA102
20140718	R	DA406
20140718	R	Mkn501
20140718	R	PKS2155-304
20140720	R	3C345
20140720	R	3C371
20140720	R	3C454-3
20140720	R	4C38-41
20140720	R	4C51-37
20140720	R	CTA102
20140720	R	DA406
20140720	R	Mkn501
20140720	R	PKS2155-304
20140721	R	3C345
20140721	R	3C371
20140721	R	3C454-3
20140721	R	4C38-41
20140721	R	4C51-37
20140721	R	CTA102
20140721	R	DA406
20140721	R	Mkn501
20140721	R	PKS2155-304
20140725	R	3C345
20140725	R	3C371
20140725	R	3C454-3
20140725	R	3C66A
20140725	R	4C38-41
20140725	R	4C51-37
20140725	R	CTA102
20140725	R	DA406
20140725	R	Mkn501
20140725	R	PKS2155-304
20140726	R	3C345
20140726	R	3C371
20140726	R	3C454-3
20140726	R	4C38-41
20140726	R	CTA102
20140726	R	DA406
20140726	R	Mkn501
20140726	R	PKS2155-304
20140727	R	3C371
20140727	R	3C454-3
20140727	R	CTA102
20140727	R	PKS2155-304
20140728	R	3C371
20140728	R	3C454-3
20140728	R	3C66A
20140728	R	4C38-41
20140728	R	4C51-37
20140728	R	AO0235+16
20140728	R	CTA102
20140728	R	PKS2155-304
20140729	R	3C345
20140729	R	3C371
20140729	R	3C454-3
20140729	R	4C38-41
20140729	R	4C51-37
20140729	R	CTA102
20140729	R	DA406
20140729	R	Mkn501
20140802	R	3C345
20140802	R	3C371
20140802	R	3C454-3
20140802	R	3C66A
20140802	R	4C38-41
20140802	R	4C51-37
20140802	R	CTA102
20140802	R	DA406
20140802	R	Mkn501
20140802	R	PKS2155-304
20140803	R	3C345
20140803	R	3C371
20140803	R	3C454-3
20140803	R	4C38-41
20140803	R	4C51-37
20140803	R	CTA102
20140803	R	DA406
20140803	R	Mkn501
20140803	R	PKS2155-304
20140807	R	3C371
20140807	R	3C454-3
20140807	R	3C66A
20140807	R	4C51-37
20140807	R	AO0235+16
20140807	R	CTA102
20140807	R	PKS0420-01
20140807	R	PKS2155-304
20140814	R	PKS2155-304
20140815	R	3C345
20140815	R	3C371
20140815	R	3C454-3
20140815	R	3C66A
20140815	R	4C38-41
20140815	R	4C51-37
20140815	R	CTA102
20140815	R	DA406
20140815	R	Mkn501
20140815	R	PKS2155-304
20140820	R	3C371
20140820	R	3C454-3
20140820	R	3C66A
20140820	R	AO0235+16
20140820	R	CTA102
20140820	R	PKS0420-01
20140820	R	PKS0528+134
20140820	R	PKS2155-304
20140820	R	S5_0716+71
20140821	R	S5_0716+71
20140822	R	3C345
20140822	R	3C371
20140822	R	3C454-3
20140822	R	3C66A
20140822	R	4C51-37
20140822	R	AO0235+16
20140822	R	CTA102
20140822	R	Mkn501
20140822	R	PKS2155-304
20140823	R	3C345
20140823	R	3C371
20140823	R	3C454-3
20140823	R	4C38-41
20140823	R	4C51-37
20140823	R	CTA102
20140823	R	DA406
20140823	R	Mkn501
20140823	R	PKS2155-304
20140824	R	3C345
20140824	R	3C371
20140824	R	3C454-3
20140824	R	3C66A
20140824	R	4C38-41
20140824	R	4C51-37
